"guid","city","poi"
"001517484D11EA","北京","两个好朋友酒吧 2kolegas"
"002305ADF8585E","广州","踢馆LIVEHOUSE"
"002E8E228878DA","北京","听月"
"0091D8B37DD303","上海","k1+3 rooftop cafe bar"
"01C44DB527A612","上海","coco酒吧"
"01D986390CCAAC","北京","男孩女孩"
"02478176DFB2D5","北京","目的地 Destination"
"02885DE3FB6B4C","北京","Guy's Club"
"02898F7DA8F0B7","上海","丽笙星空酒吧"
"02C5C52EC2DDC2","深圳","红糖罐(车公庙店)"
"032DB6A95E3F02","北京","后海三人行咖啡厅"
"03351EE7AFB0B3","北京","友谊青年酒吧"
"038767DD8AADD3","上海","芭芭露莎(Barbarossa)"
"03B63D5C288608","上海","Brix"
"03CED89A6B092F","广州","Five Cafe(怡安店)"
"0446CC8F7FA5F0","北京","ZONE酒吧"
"04C8F74E2D43BB","北京","All-Star Sports Bar&Grill"
"04DBBC2439D7A8","北京","Spark"
"05085605BCB263","上海","NYX酒吧"
"06CCD276872760","广州","喜马拉雅藏族餐吧"
"06FDD90C368C62","广州","熊猫酒吧"
"0745896EAA21CA","上海","Top Choice"
"0766F7A76391E5","上海","悦台三号酒吧"
"087C2E537A8C24","上海","公社咖啡"
"089E8AAE0349EB","北京","mOnstEr LoDGe 怪物会馆"
"08AC95E6A4CD53","上海","利都台球(平凉路店)"
"08CAEB6384260D","上海","Docks bar"
"090081952B8447","上海","江畔QUAY"
"093BB30457F431","上海","Dr. Bar"
"094791457E510A","北京","欧可啤酒"
"09DCB6C5FC9D26","上海","Kee Club"
"0A211611F67D59","上海","Apothecary"
"0A38D1288CABF9","成都","耍都文化广场"
"0A52808D9085DE","上海","Longbar Asia"
"0A92DEB484556C","上海","星空驿站"
"0BF69514A37F0E","北京","壹楼"
"0D54519D8CA9E4","北京","Shooter(三里屯店)"
"0D98875B84C058","北京","贰楼"
"0DBF5595211174","深圳","CLUB VIVA(福田店)"
"0EE0833FFB98B7","北京","槐吧酒吧"
"0F7BDF39D01E40","北京","2012宜金坊"
"101404FD52B638","上海","上海希爾頓酒店吧三十九"
"10288DA38493F3","北京","Bar Blu"
"103682140E063D","上海","CVRVE"
"10947C614099A1","上海","Lola"
"1123CD060E6817","上海","DR"
"112EB491F7E163","上海","宝马会"
